Year,Month,"Oklahoma Spot Price","Louisiana Spot Price"
1988,1,1.875,2.065
1988,2,1.898,1.988
1988,3,1.643,1.818
1988,4,1.332,1.493
1988,5,1.262,1.383
1988,6,1.240,1.378
1988,7,1.265,1.433
1988,8,1.310,1.543
1988,9,1.467,1.713
1988,10,1.500,1.688
1988,11,1.633,1.908
1988,12,1.780,2.207
1989,1,1.803,2.173
1989,2,1.472,1.740
1989,3,1.247,1.458
1989,4,1.273,1.515
1989,5,1.373,1.642
1989,6,1.408,1.687
1989,7,1.378,1.643
1989,8,1.375,1.575
1989,9,1.308,1.513
1989,10,1.315,1.555
1989,11,1.447,1.765
1989,12,1.750,2.102
1990,1,2.203,2.420
1990,2,1.623,1.982
1990,3,1.263,1.487
1990,4,1.252,1.468
1990,5,1.252,1.450
1990,6,1.277,1.460
1990,7,1.252,1.418
1990,8,1.220,1.340
1990,9,1.240,1.353
1990,10,1.412,1.568
1990,11,1.807,2.052
1990,12,1.903,2.237
1991,1,1.627,1.830
1991,2,1.223,1.340
1991,3,1.208,1.318
1991,4,1.208,1.320
1991,5,1.205,1.298
1991,6,1.165,1.258
1991,7,1.020,1.117
1991,8,1.065,1.137
1991,9,1.287,1.368
1991,10,1.613,1.732


